Mã tài sản,Tên tài sản,Ngày vào sổ,Ngày sử dụng,Đơn vị sử dụng,Số lượng TS con,Số lượng Phụ lục ts,Ghi chú,Tài khoản tài sản,Dự án,Mô hình tài sản,Nguyên giá tài sản,Giá trị Khấu hao ban đầu,Kỳ khấu hao ban đầu,GTCL ban đầu,Giá trị Khấu hao phát sinh,Kỳ khấu hao phát sinh,Giá trị khấu hao còn lại,Kỳ khấu hao còn lại
D.2.GOO.0040,"D.2.GOO.0040 - Goòng mở hông 1,5m3 lật nghiêng",2009-07-25,2009-07-25,Phòng CV,"0,00","0,00",,2113,091 - Duy trì SX 2009,"2113-Phương tiện vận tải, truyền dẫn","31.650.396,00","31.650.396,00","108,00","0,00","0,00","0,00","0,00","0,00"
D.2.GOO.0041,"D.2.GOO.0041 - Goòng mở hông 1,5m3 lật nghiêng",2009-07-25,2009-07-25,Phòng CV,"0,00","0,00",,2113,091 - Duy trì SX 2009,"2113-Phương tiện vận tải, truyền dẫn","31.650.396,00","31.650.396,00","108,00","0,00","0,00","0,00","0,00","0,00"
D.2.GOO.0042,"D.2.GOO.0042 - Goòng mở hông 1,5m3 lật nghiêng",2009-07-25,2009-07-25,Phòng CV,"0,00","0,00",,2113,091 - Duy trì SX 2009,"2113-Phương tiện vận tải, truyền dẫn","31.650.396,00","31.650.396,00","108,00","0,00","0,00","0,00","0,00","0,00"
D.2.GOO.0043,"D.2.GOO.0043 - Goòng mở hông 1,5m3 lật nghiêng",2009-07-25,2009-07-25,Phòng CV,"0,00","0,00",,2113,091 - Duy trì SX 2009,"2113-Phương tiện vận tải, truyền dẫn","31.650.396,00","31.650.396,00","108,00","0,00","0,00","0,00","0,00","0,00"
D.2.GOO.0044,"D.2.GOO.0044 - Goòng mở hông 1,5m3 lật nghiêng",2009-07-25,2009-07-25,Phòng CV,"0,00","0,00",,2113,091 - Duy trì SX 2009,"2113-Phương tiện vận tải, truyền dẫn","31.650.396,00","31.650.396,00","108,00","0,00","0,00","0,00","0,00","0,00"
D.2.GOO.0045,"D.2.GOO.0045 - Goòng mở hông 1,5m3 lật nghiêng",2009-07-25,2009-07-25,Phòng CV,"0,00","0,00",,2113,091 - Duy trì SX 2009,"2113-Phương tiện vận tải, truyền dẫn","31.650.396,00","31.650.396,00","108,00","0,00","0,00","0,00","0,00","0,00"
D.2.GOO.0046,"D.2.GOO.0046 - Goòng mở hông 1,5m3 lật nghiêng",2009-07-25,2009-07-25,Phòng CV,"0,00","0,00",,2113,091 - Duy trì SX 2009,"2113-Phương tiện vận tải, truyền dẫn","31.650.396,00","31.650.396,00","108,00","0,00","0,00","0,00","0,00","0,00"
D.2.GOO.0047,"D.2.GOO.0047 - Goòng mở hông 1,5m3 lật nghiêng",2009-07-25,2009-07-25,Phòng CV,"0,00","0,00",,2113,091 - Duy trì SX 2009,"2113-Phương tiện vận tải, truyền dẫn","31.650.396,00","31.650.396,00","108,00","0,00","0,00","0,00","0,00","0,00"
D.2.GOO.0048,"D.2.GOO.0048 - Goòng mở hông 1,5m3 lật nghiêng",2009-07-25,2009-07-25,Phòng CV,"0,00","0,00",,2113,091 - Duy trì SX 2009,"2113-Phương tiện vận tải, truyền dẫn","31.650.396,00","31.650.396,00","108,00","0,00","0,00","0,00","0,00","0,00"
D.2.GOO.0049,"D.2.GOO.0049 - Goòng mở hông 1,5m3 lật nghiêng",2009-07-25,2009-07-25,Phòng CV,"0,00","0,00",,2113,091 - Duy trì SX 2009,"2113-Phương tiện vận tải, truyền dẫn","31.650.396,00","31.650.396,00","108,00","0,00","0,00","0,00","0,00","0,00"
D.2.GOO.0050,"D.2.GOO.0050 - Goòng mở hông 1,5m3 lật nghiêng",2009-07-25,2009-07-25,Phòng CV,"0,00","0,00",,2113,091 - Duy trì SX 2009,"2113-Phương tiện vận tải, truyền dẫn","31.650.396,00","31.650.396,00","108,00","0,00","0,00","0,00","0,00","0,00"
D.2.GOO.0051,D.2.GOO.0051 - Goòng 3 tấn mở hông cỡ đường 900,2009-10-28,2009-10-28,Phòng CV,"0,00","0,00",,2113,091 - Duy trì SX 2009,"2113-Phương tiện vận tải, truyền dẫn","35.717.788,00","35.717.788,00","108,00","0,00","0,00","0,00","0,00","0,00"
D.2.GOO.0052,D.2.GOO.0052 - Goòng 3 tấn mở hông cỡ đường 900,2009-10-28,2009-10-28,Phòng CV,"0,00","0,00",,2113,091 - Duy trì SX 2009,"2113-Phương tiện vận tải, truyền dẫn","35.717.788,00","35.717.788,00","108,00","0,00","0,00","0,00","0,00","0,00"
D.2.GOO.0053,D.2.GOO.0053 - Goòng 3 tấn mở hông cỡ đường 900,2009-10-28,2009-10-28,Phòng CV,"0,00","0,00",,2113,091 - Duy trì SX 2009,"2113-Phương tiện vận tải, truyền dẫn","35.717.788,00","35.717.788,00","108,00","0,00","0,00","0,00","0,00","0,00"
D.2.GOO.0054,D.2.GOO.0054 - Goòng 3 tấn mở hông cỡ đường 900,2009-10-28,2009-10-28,Phòng CV,"0,00","0,00",,2113,091 - Duy trì SX 2009,"2113-Phương tiện vận tải, truyền dẫn","35.717.788,00","35.717.788,00","108,00","0,00","0,00","0,00","0,00","0,00"
D.2.GOO.0055,D.2.GOO.0055 - Goòng 3 tấn mở hông cỡ đường 900,2009-10-28,2009-10-28,Phòng CV,"0,00","0,00",,2113,091 - Duy trì SX 2009,"2113-Phương tiện vận tải, truyền dẫn","35.717.788,00","35.717.788,00","108,00","0,00","0,00","0,00","0,00","0,00"
D.2.GOO.0056,D.2.GOO.0056 - Goòng 3 tấn mở hông cỡ đường 900,2009-10-28,2009-10-28,Phòng CV,"0,00","0,00",,2113,091 - Duy trì SX 2009,"2113-Phương tiện vận tải, truyền dẫn","35.717.788,00","35.717.788,00","108,00","0,00","0,00","0,00","0,00","0,00"
D.2.GOO.0057,D.2.GOO.0057 - Goòng 3 tấn mở hông cỡ đường 900,2009-10-28,2009-10-28,Phòng CV,"0,00","0,00",,2113,091 - Duy trì SX 2009,"2113-Phương tiện vận tải, truyền dẫn","35.717.787,00","35.717.787,00","108,00","0,00","0,00","0,00","0,00","0,00"
D.2.GOO.0058,D.2.GOO.0058 - Goòng 3 tấn mở hông cỡ đường 900,2009-10-28,2009-10-28,Phòng CV,"0,00","0,00",,2113,091 - Duy trì SX 2009,"2113-Phương tiện vận tải, truyền dẫn","35.717.787,00","35.717.787,00","108,00","0,00","0,00","0,00","0,00","0,00"
D.2.GOO.0059,D.2.GOO.0059 - Goòng 3 tấn mở hông cỡ đường 900,2009-10-28,2009-10-28,Phòng CV,"0,00","0,00",,2113,091 - Duy trì SX 2009,"2113-Phương tiện vận tải, truyền dẫn","35.717.787,00","35.717.787,00","108,00","0,00","0,00","0,00","0,00","0,00"
D.2.GOO.0060,D.2.GOO.0060 - Goòng 3 tấn mở hông cỡ đường 900,2009-10-28,2009-10-28,Phòng CV,"0,00","0,00",,2113,091 - Duy trì SX 2009,"2113-Phương tiện vận tải, truyền dẫn","35.717.787,00","35.717.787,00","108,00","0,00","0,00","0,00","0,00","0,00"
D.2.GOO.0061,D.2.GOO.0061 - Goòng 3 tấn mở hông cỡ đường 900,2009-10-28,2009-10-28,Phòng CV,"0,00","0,00",,2113,091 - Duy trì SX 2009,"2113-Phương tiện vận tải, truyền dẫn","35.717.787,00","35.717.787,00","108,00","0,00","0,00","0,00","0,00","0,00"
D.2.GOO.0062,D.2.GOO.0062 - Goòng 3 tấn mở hông cỡ đường 900,2009-10-28,2009-10-28,Phòng CV,"0,00","0,00",,2113,091 - Duy trì SX 2009,"2113-Phương tiện vận tải, truyền dẫn","35.717.787,00","35.717.787,00","108,00","0,00","0,00","0,00","0,00","0,00"
D.2.GOO.0063,D.2.GOO.0063 - Goòng 3 tấn mở hông cỡ đường 900,2009-10-28,2009-10-28,Phòng CV,"0,00","0,00",,2113,091 - Duy trì SX 2009,"2113-Phương tiện vận tải, truyền dẫn","35.717.787,00","35.717.787,00","108,00","0,00","0,00","0,00","0,00","0,00"
D.2.GOO.0064,D.2.GOO.0064 - Goòng 3 tấn mở hông cỡ đường 900,2009-10-28,2009-10-28,Phòng CV,"0,00","0,00",,2113,091 - Duy trì SX 2009,"2113-Phương tiện vận tải, truyền dẫn","35.717.787,00","35.717.787,00","108,00","0,00","0,00","0,00","0,00","0,00"
D.2.GOO.0065,D.2.GOO.0065 - Goòng 3 tấn mở hông cỡ đường 900,2009-10-28,2009-10-28,Phòng CV,"0,00","0,00",,2113,091 - Duy trì SX 2009,"2113-Phương tiện vận tải, truyền dẫn","35.717.787,00","35.717.787,00","108,00","0,00","0,00","0,00","0,00","0,00"
D.2.GOO.0116,D.2.GOO.0116 - Goòng chở người cỡ đường 900mm; Mã hiệu GCN,2013-03-15,2013-03-15,Phòng CV,"0,00","0,00",,2113,003 - NCSTLBMT Đồng Vông,"2113-Phương tiện vận tải, truyền dẫn","75.345.864,00","75.345.864,00","84,00","0,00","0,00","0,00","0,00","0,00"
D.2.GOO.0117,D.2.GOO.0117 - Goòng chở người cỡ đường 900mm; Mã hiệu GCN,2013-03-15,2013-03-15,Phòng CV,"0,00","0,00",,2113,003 - NCSTLBMT Đồng Vông,"2113-Phương tiện vận tải, truyền dẫn","75.345.864,00","75.345.864,00","84,00","0,00","0,00","0,00","0,00","0,00"
D.2.GOO.0118,D.2.GOO.0118 - Goòng chở người cỡ đường 900mm; Mã hiệu GCN,2013-03-15,2013-03-15,Phòng CV,"0,00","0,00",,2113,003 - NCSTLBMT Đồng Vông,"2113-Phương tiện vận tải, truyền dẫn","75.345.864,00","75.345.864,00","84,00","0,00","0,00","0,00","0,00","0,00"
D.2.GOO.0119,D.2.GOO.0119 - Goòng chở người cỡ đường 900mm; Mã hiệu GCN,2013-03-15,2013-03-15,Phòng CV,"0,00","0,00",,2113,003 - NCSTLBMT Đồng Vông,"2113-Phương tiện vận tải, truyền dẫn","75.345.864,00","75.345.864,00","84,00","0,00","0,00","0,00","0,00","0,00"
D.2.GOO.0120,D.2.GOO.0120 - Goòng chở người cỡ đường 900mm; Mã hiệu GCN,2013-03-15,2013-03-15,Phòng CV,"0,00","0,00",,2113,003 - NCSTLBMT Đồng Vông,"2113-Phương tiện vận tải, truyền dẫn","75.345.864,00","75.345.864,00","84,00","0,00","0,00","0,00","0,00","0,00"
D.2.GOO.0121,D.2.GOO.0121 - Goòng chở người cỡ đường 900mm; Mã hiệu GCN,2013-03-15,2013-03-15,Phòng CV,"0,00","0,00",,2113,003 - NCSTLBMT Đồng Vông,"2113-Phương tiện vận tải, truyền dẫn","75.345.864,00","75.345.864,00","84,00","0,00","0,00","0,00","0,00","0,00"
D.2.GOO.0122,D.2.GOO.0122 - Goòng chở người cỡ đường 900mm; Mã hiệu GCN,2013-03-15,2013-03-15,Phòng CV,"0,00","0,00",,2113,003 - NCSTLBMT Đồng Vông,"2113-Phương tiện vận tải, truyền dẫn","75.345.864,00","75.345.864,00","84,00","0,00","0,00","0,00","0,00","0,00"
D.2.GOO.0123,D.2.GOO.0123 - Goòng chở người cỡ đường 900mm; Mã hiệu GCN,2013-03-15,2013-03-15,Phòng CV,"0,00","0,00",,2113,003 - NCSTLBMT Đồng Vông,"2113-Phương tiện vận tải, truyền dẫn","75.345.864,00","75.345.864,00","84,00","0,00","0,00","0,00","0,00","0,00"
D.2.GOO.0124,D.2.GOO.0124 - Goòng chở than cỡ đường 900mm mã hiệu GCT-3T,2018-08-30,2018-08-30,Phòng CV,"0,00","0,00",,2113,002 - MTB,"2113-Phương tiện vận tải, truyền dẫn","54.122.698,00","54.122.698,00","72,00","0,00","0,00","0,00","0,00","0,00"
D.2.GOO.0125,D.2.GOO.0125 - Goòng chở than cỡ đường 900mm mã hiệu GCT-3T,2013-05-28,2013-05-28,Phòng CV,"0,00","0,00",,2113,002 - MTB,"2113-Phương tiện vận tải, truyền dẫn","52.967.352,00","52.967.352,00","72,00","0,00","0,00","0,00","0,00","0,00"
D.2.GOO.0126,D.2.GOO.0126 - Goòng chở than cỡ đường 900mm mã hiệu GCT-3T,2013-05-28,2013-05-28,Phòng CV,"0,00","0,00",,2113,002 - MTB,"2113-Phương tiện vận tải, truyền dẫn","52.967.352,00","52.967.352,00","72,00","0,00","0,00","0,00","0,00","0,00"
