Mã tài sản,Tên tài sản,Ngày vào sổ,Ngày sử dụng,Đơn vị sử dụng,Số lượng TS con,Số lượng Phụ lục ts,Ghi chú,Tài khoản tài sản,Dự án,Mô hình tài sản,Nguyên giá tài sản,Giá trị Khấu hao ban đầu,Kỳ khấu hao ban đầu,GTCL ban đầu,Giá trị Khấu hao phát sinh,Kỳ khấu hao phát sinh,Giá trị khấu hao còn lại,Kỳ khấu hao còn lại
B.2.B800.1.0007,B.2.B800.1.0007 - Băng tải B800 NS 250T/h L=550m (DTII80/25/2x45),2011-11-12,2011-11-12,Phòng CV,"0,00","0,00",,2113,017 - Dự án Đầu tư duy trì sản xuất năm 2011 Công ty Than Hồng Thái,"2113-Phương tiện vận tải, truyền dẫn","6.802.977.452,00","6.802.977.452,00","96,00","0,00","0,00","0,00","0,00","0,00"
B.2.B800.2.0002,B.2.B800.2.0002 - Băng tải STJ-800/40S ,2005-09-30,2005-09-30,Phòng CV,"0,00","0,00",,2113,096 - Dự án  đầu tư Mở rộng nâng công suất Mỏ than Hồng Thái - Công ty Than Uông Bí,"2113-Phương tiện vận tải, truyền dẫn","443.806.106,00","443.806.106,00","96,00","0,00","0,00","0,00","0,00","0,00"
B.2.B800.2.0003,B.2.B800.2.0003 - Băng tải STJ-800/40S ,2005-09-30,2005-09-30,Phòng CV,"0,00","0,00",,2113,"015 - DA đầu tư Nâng công suất lên 600.000 tấn/năm T.khê II,III - Công ty Than Hồng thái","2113-Phương tiện vận tải, truyền dẫn","544.290.508,00","544.290.508,00","96,00","0,00","0,00","0,00","0,00","0,00"
B.2.B800.2.0004,B.2.B800.2.0004 - Hệ thống vận tải băng tải mức +30 Tràng Khê (STJ-800),2008-04-14,2008-04-14,Phòng CV,"0,00","0,00",,2113,"015 - DA đầu tư Nâng công suất lên 600.000 tấn/năm T.khê II,III - Công ty Than Hồng thái","2113-Phương tiện vận tải, truyền dẫn","16.031.404.040,00","16.031.404.040,00","96,00","0,00","0,00","0,00","0,00","0,00"
B.2.TOI.2.0011,B.2.TOI.2.0011 - Tời điện (JH-14): F=140kN; P=18kW; U=660V,2022-09-19,2022-09-19,Phân xưởng khai thác đào lò 12,"0,00","0,00",,2113,193 - Dự án đầu tư đổi mới công nghệ khai thác cơ giới hóa đồng bộ hạng nhẹ,"2113-Phương tiện vận tải, truyền dẫn","155.010.637,00","49.630.362,00","96,00","105.380.275,00","0,00","0,00","105.380.275,00","0,00"
B.2.TOI.2.0012,B.2.TOI.2.0012 - Tời điện (JH-14): F=140kN; P=18kW; U=660V,2022-09-19,2022-09-19,Phân xưởng khai thác đào lò 12,"0,00","0,00",,2113,193 - Dự án đầu tư đổi mới công nghệ khai thác cơ giới hóa đồng bộ hạng nhẹ,"2113-Phương tiện vận tải, truyền dẫn","155.010.639,00","49.630.362,00","96,00","105.380.277,00","0,00","0,00","105.380.277,00","0,00"
B.2.TOI.2.0013,B.2.TOI.2.0013 - Tời điện (JH-14): F=140kN; P=18kW; U=660V,2022-09-19,2022-09-19,Phân xưởng khai thác đào lò 12,"0,00","0,00",,2113,193 - Dự án đầu tư đổi mới công nghệ khai thác cơ giới hóa đồng bộ hạng nhẹ,"2113-Phương tiện vận tải, truyền dẫn","155.010.639,00","49.630.362,00","96,00","105.380.277,00","0,00","0,00","105.380.277,00","0,00"
D.1.TD8.0019,D.1.TD8.0019 - Tàu điện 8 tấn đường 900mm+tổ hợp Mã hiệu TĐ8-900mm,2012-08-02,2012-08-02,Phòng CV,"0,00","0,00",,2113,043 - Duy trì SX 2012,"2113-Phương tiện vận tải, truyền dẫn","1.130.875.675,00","1.130.875.675,00","120,00","0,00","0,00","0,00","0,00","0,00"
D.1.TD8.0020,D.1.TD8.0020 - Tàu điện 8 tấn đường 900mm+tổ hợp Mã hiệu TĐ8-900mm,2012-08-02,2012-08-02,Phòng CV,"0,00","0,00",,2113,043 - Duy trì SX 2012,"2113-Phương tiện vận tải, truyền dẫn","1.130.875.675,00","1.130.875.675,00","120,00","0,00","0,00","0,00","0,00","0,00"
D.1.XCA.0001,D.1.XCA.0001 - Xe ô tô Mercedez benz 14L-3246 ( BKS mới 14A-016.72),2005-08-22,2005-08-22,Phòng CV,"0,00","0,00",,2113,001 - 99,"2113-Phương tiện vận tải, truyền dẫn","521.152.504,00","521.152.504,00","0,00","0,00","0,00","0,00","0,00","0,00"
D.1.XCA.0002,D.1.XCA.0002 - Xe TOYOTA 16 chỗ-14P-4428 ( BKS mới 14B-016.28),2010-09-30,2010-09-30,Phòng CV,"0,00","0,00",,2113,089 - Dự án: Duy trì sản xuất năm 2010,"2113-Phương tiện vận tải, truyền dẫn","570.182.450,00","570.182.450,00","96,00","0,00","0,00","0,00","0,00","0,00"
D.1.XCA.0003,D.1.XCA.0003 - Xe chở người HUYNDAI 47 chỗ 14P - 4963 ( BKS mới 14B-016.29),2010-10-14,2010-10-14,Phòng CV,"0,00","0,00",,2113,089 - Dự án: Duy trì sản xuất năm 2010,"2113-Phương tiện vận tải, truyền dẫn","2.712.919.462,00","2.712.919.462,00","96,00","0,00","0,00","0,00","0,00","0,00"
D.1.XCA.0004,D.1.XCA.0004 - Xe ô tô TOYOTA HIACE 14P-1792 ( BKS mới 14B-016.54),2010-01-23,2010-01-23,Phòng CV,"0,00","0,00",,2113,154 - BCKTKT Xe điều hành,"2113-Phương tiện vận tải, truyền dẫn","663.540.129,00","663.540.129,00","108,00","0,00","0,00","0,00","0,00","0,00"
D.1.XCO.0001,D.1.XCO.0001 - Ô tô Mítsubíshi Pajero 14A-11457,2001-12-01,2001-12-01,Phân xưởng Cơ giới -Cơ khí 1,"0,00","0,00",,2113,"159 - Dự án đầu tư Khai thác than tuy?n IA-IIA vỉa 8,7 Than Thùng Mỏ Than Hồng Thái","2113-Phương tiện vận tải, truyền dẫn","607.240.000,00","607.240.000,00","96,00","0,00","0,00","0,00","0,00","0,00"
D.1.XCO.0007,D.1.XCO.0007 - Xe ô tô điều hành sản xuất ISUZU 14A-11153,2005-04-26,2005-04-26,Phân xưởng Cơ giới -Cơ khí 2,"0,00","0,00",,2113,096 - Dự án  đầu tư Mở rộng nâng công suất Mỏ than Hồng Thái - Công ty Than Uông Bí,"2113-Phương tiện vận tải, truyền dẫn","652.040.891,00","652.040.891,00","96,00","0,00","0,00","0,00","0,00","0,00"
D.1.XCO.0008,D.1.XCO.0008 - Xe ô tô Mitsubíhi Pajero X 14A-11082,2005-12-20,2005-12-20,Phân xưởng Cơ giới -Cơ khí 1,"0,00","0,00",,2113,096 - Dự án  đầu tư Mở rộng nâng công suất Mỏ than Hồng Thái - Công ty Than Uông Bí,"2113-Phương tiện vận tải, truyền dẫn","634.435.260,00","634.435.260,00","96,00","0,00","0,00","0,00","0,00","0,00"
D.1.XCO.0010,D.1.XCO.0010 - Xe ô tô Mitsumitshi 14M-3490 ( BKS mới 14A-162.59),2020-01-01,,Phòng CV,"0,00","0,00",,2113,001 - 99,"2113-Phương tiện vận tải, truyền dẫn","683.381.100,00","683.381.100,00","0,00","0,00","0,00","0,00","0,00","0,00"
